Date,Year,Month,WeekOfYear,DayOfWeek,DayOfYear,Hour,Data Entity,Severity,Latitude,Longitude ,Intersection Id
2021-01-01,2020,1,53,4,1,5,CRUE/SEM,3.0,7.149007,-73.1248932,25
2021-01-01,2020,1,53,4,1,7,CRUE/SEM,,7.0883841,-73.1082597,11
2021-01-01,2020,1,53,4,1,1,CRUE/SEM,3.0,7.119349,-73.1227416,0
2021-01-01,2020,1,53,4,1,7,CRUE/SEM,,7.1366064,-73.1185761,907
2021-01-01,2020,1,53,4,1,7,CRUE/SEM,,7.1175894,-73.1112649,7
2021-01-01,2020,1,53,4,1,12,CRUE/SEM,2.0,7.119349,-73.1227416,0
2021-01-02,2020,1,53,5,2,2,CRUE/SEM,4.0,7.138547,-73.1209511,1358
2021-01-02,2020,1,53,5,2,7,CRUE/SEM,3.0,7.1084094,-73.1074986,763
2021-01-02,2020,1,53,5,2,9,CRUE/SEM,3.0,7.1218513,-73.1201512,31
2021-01-02,2020,1,53,5,2,12,CRUE/SEM,,7.0883327,-73.1085326,11
2021-01-02,2020,1,53,5,2,20,CRUE/SEM,2.0,7.1260159,-73.109517,616
2021-01-02,2020,1,53,5,2,6,CRUE/SEM,3.0,7.119349,-73.1227416,0
2021-01-02,2020,1,53,5,2,16,CRUE/SEM,3.0,7.1496461,-73.1480925,90
2021-01-03,2020,1,53,6,3,8,CRUE/SEM,,7.1218914,-73.115325,659
2021-01-04,2021,1,1,0,4,5,CRUE/SEM,3.0,7.107558,-73.13487,151
2021-01-04,2021,1,1,0,4,20,CRUE/SEM,,7.089364,-73.1324768,9
2021-01-04,2021,1,1,0,4,5,CRUE/SEM,3.0,7.107558,-73.13487,151
2021-01-04,2021,1,1,0,4,6,CRUE/SEM,2.0,7.1134749,-73.121881,44
2021-01-04,2021,1,1,0,4,8,CRUE/SEM,2.0,7.119349,-73.1227416,0
2021-01-04,2021,1,1,0,4,9,CRUE/SEM,2.0,7.107093,-73.1149,10
2021-01-04,2021,1,1,0,4,20,CRUE/SEM,,7.1198174,-73.1141914,514
2021-01-04,2021,1,1,0,4,21,CRUE/SEM,,7.1346808,-73.103979,30
2021-01-04,2021,1,1,0,4,21,CRUE/SEM,3.0,7.1261719,-73.1391762,431
2021-01-04,2021,1,1,0,4,22,CRUE/SEM,,7.110472,-73.1194085,5
2021-01-04,2021,1,1,0,4,19,CRUE/SEM,,7.1487272,-73.1400784,39
2021-01-04,2021,1,1,0,4,18,CRUE/SEM,3.0,7.152346,-73.134854,208
2021-01-04,2021,1,1,0,4,19,CRUE/SEM,3.0,7.1051046,-73.1138571,34
2021-01-04,2021,1,1,0,4,19,CRUE/SEM,,7.1133802,-73.1231547,13
2021-01-04,2021,1,1,0,4,18,CRUE/SEM,3.0,7.1084339,-73.1169687,69
2021-01-04,2021,1,1,0,4,18,CRUE/SEM,3.0,7.1052471,-73.1219815,33
2021-01-04,2021,1,1,0,4,18,CRUE/SEM,,7.1048178,-73.1251754,1362
2021-01-04,2021,1,1,0,4,14,CRUE/SEM,2.0,7.0805927,-73.1148234,991
2021-01-04,2021,1,1,0,4,15,CRUE/SEM,3.0,7.1152296,-73.1275217,368
2021-01-04,2021,1,1,0,4,15,CRUE/SEM,3.0,7.1139292,-73.1263607,209
2021-01-04,2021,1,1,0,4,11,CRUE/SEM,2.0,7.11931,-73.1214239,12
2021-01-04,2021,1,1,0,4,18,CRUE/SEM,2.0,7.1219073,-73.1257714,451
2021-01-04,2021,1,1,0,4,22,CRUE/SEM,3.0,7.1218921,-73.1164922,147
2021-01-04,2021,1,1,0,4,2,CRUE/SEM,3.0,7.1027504,-73.167249,14
2021-01-04,2021,1,1,0,4,2,CRUE/SEM,3.0,7.0820982,-73.1201974,1364
2021-01-05,2021,1,1,1,5,8,CRUE/SEM,,7.0982752,-73.1112433,18
2021-01-05,2021,1,1,1,5,9,CRUE/SEM,,7.119349,-73.1227416,0
2021-01-05,2021,1,1,1,5,10,CRUE/SEM,,7.1119548,-73.1077932,732
2021-01-05,2021,1,1,1,5,12,CRUE/SEM,,7.1265569,-73.1114079,685
2021-01-05,2021,1,1,1,5,13,CRUE/SEM,3.0,7.1039319,-73.1107608,22
2021-01-05,2021,1,1,1,5,13,CRUE/SEM,3.0,7.1039319,-73.1107608,22
2021-01-05,2021,1,1,1,5,16,CRUE/SEM,3.0,7.1312188,-73.1206358,249
2021-01-05,2021,1,1,1,5,17,CRUE/SEM,3.0,7.0883327,-73.1085326,11
2021-01-05,2021,1,1,1,5,19,CRUE/SEM,2.0,7.142295,-73.133729,489
2021-01-05,2021,1,1,1,5,19,CRUE/SEM,2.0,7.142295,-73.133729,489
2021-01-05,2021,1,1,1,5,20,CRUE/SEM,,7.107093,-73.1149,10
2021-01-05,2021,1,1,1,5,22,CRUE/SEM,2.0,7.1133887,-73.128179,323
2021-01-05,2021,1,1,1,5,5,CRUE/SEM,,7.155825,-73.136511,42
2021-01-05,2021,1,1,1,5,0,CRUE/SEM,,7.146275,-73.1254786,781
2021-01-06,2021,1,1,2,6,10,CRUE/SEM,4.0,7.135968,-73.1101731,394
2021-01-06,2021,1,1,2,6,7,CRUE/SEM,4.0,7.1469879,-73.1331975,59
2021-01-06,2021,1,1,2,6,7,CRUE/SEM,3.0,7.1277752,-73.1242186,68
2021-01-06,2021,1,1,2,6,7,CRUE/SEM,3.0,7.1128573,-73.1227065,13
2021-01-06,2021,1,1,2,6,7,CRUE/SEM,4.0,7.119349,-73.1227416,0
2021-01-06,2021,1,1,2,6,9,CRUE/SEM,3.0,7.1073874,-73.1364357,4
2021-01-06,2021,1,1,2,6,9,CRUE/SEM,3.0,7.0839261,-73.1150443,49
2021-01-06,2021,1,1,2,6,9,CRUE/SEM,4.0,7.12779,-73.11946,1
2021-01-06,2021,1,1,2,6,9,CRUE/SEM,3.0,7.119349,-73.1227416,0
2021-01-06,2021,1,1,2,6,19,CRUE/SEM,3.0,7.119349,-73.1227416,0
2021-01-06,2021,1,1,2,6,18,CRUE/SEM,3.0,7.119349,-73.1227416,0
2021-01-06,2021,1,1,2,6,17,CRUE/SEM,3.0,7.09144,-73.10621,124
2021-01-06,2021,1,1,2,6,16,CRUE/SEM,3.0,7.1277752,-73.1242186,68
2021-01-06,2021,1,1,2,6,15,CRUE/SEM,3.0,7.1312188,-73.1206358,249
2021-01-06,2021,1,1,2,6,14,CRUE/SEM,3.0,7.119349,-73.1227416,0
2021-01-06,2021,1,1,2,6,12,CRUE/SEM,3.0,7.089364,-73.1324768,9
2021-01-06,2021,1,1,2,6,10,CRUE/SEM,3.0,7.0834826,-73.1212953,217
2021-01-06,2021,1,1,2,6,12,CRUE/SEM,3.0,7.1076693,-73.1364925,4
2021-01-06,2021,1,1,2,6,12,CRUE/SEM,4.0,7.1076693,-73.1364925,4
2021-01-06,2021,1,1,2,6,13,CRUE/SEM,4.0,7.0906551,-73.1067458,107
2021-01-06,2021,1,1,2,6,8,CRUE/SEM,3.0,7.119349,-73.1227416,0
2021-01-06,2021,1,1,2,6,10,CRUE/SEM,4.0,7.0834826,-73.1212953,217
2021-01-06,2021,1,1,2,6,12,CRUE/SEM,3.0,7.1076693,-73.1364925,4
