Date,Year,Month,WeekOfYear,DayOfWeek,DayOfYear,Hour,Data Entity,Severity,Latitude,Longitude ,Intersection Id
2017-01-01,2017,1,52,6,1,14,DTB,4.0,7.1191128,-73.1098445,156
2017-01-01,2017,1,52,6,1,17,DTB,4.0,7.1090654,-73.1176776,163
2017-01-01,2017,1,52,6,1,19,DTB,2.0,7.0917982,-73.1096603,510
2017-01-01,2017,1,52,6,1,11,DTB,4.0,7.1324662,-73.1541962,51
2017-01-01,2017,1,52,6,1,19,DTB,2.0,7.1047338,-73.1101507,131
2017-01-01,2017,1,52,6,1,0,DTB,5.0,7.119349,-73.1227416,0
2017-01-01,2017,1,52,6,1,3,DTB,4.0,7.0849927,-73.1301865,1157
2017-01-02,2017,1,1,0,2,15,DTB,2.0,7.1201721,-73.1272586,113
2017-01-02,2017,1,1,0,2,20,DTB,2.0,7.1301646,-73.1212929,1032
2017-01-02,2017,1,1,0,2,9,DTB,4.0,7.1168065,-73.1159818,329
2017-01-02,2017,1,1,0,2,9,DTB,4.0,7.1186675,-73.1230647,923
2017-01-02,2017,1,1,0,2,9,DTB,2.0,7.1058133,-73.1140872,513
2017-01-02,2017,1,1,0,2,10,DTB,4.0,7.0829543,-73.1207497,217
2017-01-02,2017,1,1,0,2,15,DTB,2.0,7.1195061,-73.1241289,198
2017-01-02,2017,1,1,0,2,21,DTB,4.0,7.1469561,-73.1244344,296
2017-01-02,2017,1,1,0,2,8,DTB,2.0,7.110472,-73.1194085,5
2017-01-02,2017,1,1,0,2,15,DTB,4.0,7.11674,-73.11534,60
2017-01-02,2017,1,1,0,2,8,DTB,2.0,7.1027504,-73.167249,14
2017-01-02,2017,1,1,0,2,5,DTB,2.0,7.1525632,-73.1349308,390
2017-01-03,2017,1,1,1,3,9,DTB,4.0,7.1148103,-73.1297051,222
2017-01-03,2017,1,1,1,3,23,DTB,2.0,7.1402483,-73.1330002,1106
2017-01-03,2017,1,1,1,3,9,DTB,4.0,7.1034423,-73.1175543,170
2017-01-03,2017,1,1,1,3,12,DTB,4.0,7.122573,-73.1244392,964
2017-01-03,2017,1,1,1,3,16,DTB,2.0,7.1415452,-73.1319462,1379
2017-01-03,2017,1,1,1,3,16,DTB,2.0,7.1271428,-73.123341,611
2017-01-03,2017,1,1,1,3,16,DTB,2.0,7.119349,-73.1227416,0
2017-01-03,2017,1,1,1,3,15,DTB,4.0,7.1211974,-73.1193572,50
2017-01-03,2017,1,1,1,3,0,DTB,2.0,7.1090832,-73.1142043,28
2017-01-04,2017,1,1,2,4,16,DTB,2.0,7.1076693,-73.1364925,4
2017-01-04,2017,1,1,2,4,16,DTB,2.0,7.1155987,-73.1222493,326
2017-01-04,2017,1,1,2,4,15,DTB,4.0,7.1218328,-73.1283886,608
2017-01-04,2017,1,1,2,4,13,DTB,4.0,7.0996551,-73.1110949,74
2017-01-04,2017,1,1,2,4,11,DTB,2.0,7.09144,-73.10621,124
2017-01-04,2017,1,1,2,4,10,DTB,4.0,7.1250107,-73.1244345,341
2017-01-04,2017,1,1,2,4,12,DTB,4.0,7.1011961,-73.1311842,248
2017-01-04,2017,1,1,2,4,7,DTB,4.0,7.0868532,-73.1352969,277
2017-01-04,2017,1,1,2,4,7,DTB,2.0,7.0903421,-73.1274724,770
2017-01-04,2017,1,1,2,4,8,DTB,2.0,7.1085333,-73.1097128,1005
2017-01-05,2017,1,1,3,5,22,DTB,2.0,7.0979375,-73.1015032,624
2017-01-05,2017,1,1,3,5,21,DTB,2.0,7.1153208,-73.119434,671
2017-01-05,2017,1,1,3,5,14,DTB,4.0,7.1555319,-73.1415685,93
2017-01-05,2017,1,1,3,5,15,DTB,4.0,7.1082916,-73.1141008,96
2017-01-05,2017,1,1,3,5,12,DTB,4.0,7.0921354,-73.1107172,826
2017-01-05,2017,1,1,3,5,9,DTB,2.0,7.1054592,-73.115962,268
2017-01-05,2017,1,1,3,5,7,DTB,2.0,7.0881792,-73.1344997,759
2017-01-05,2017,1,1,3,5,3,DTB,4.0,7.1606967,-73.1323789,38
2017-01-06,2017,1,1,4,6,10,DTB,4.0,7.1218375,-73.1119397,194
2017-01-06,2017,1,1,4,6,7,DTB,4.0,7.10751,-73.10916,127
2017-01-06,2017,1,1,4,6,10,DTB,4.0,7.1058412,-73.1066211,1232
2017-01-06,2017,1,1,4,6,13,DTB,2.0,7.122761,-73.128733,2
2017-01-06,2017,1,1,4,6,13,DTB,4.0,7.1136586,-73.107609,457
2017-01-06,2017,1,1,4,6,12,DTB,4.0,7.0862997,-73.1248989,219
2017-01-06,2017,1,1,4,6,15,DTB,4.0,7.0845066,-73.1225634,78
2017-01-06,2017,1,1,4,6,17,DTB,4.0,7.1138993,-73.1302531,318
2017-01-06,2017,1,1,4,6,17,DTB,2.0,7.1290655,-73.1298292,3
2017-01-06,2017,1,1,4,6,16,DTB,4.0,7.1193782,-73.119596,681
2017-01-07,2017,1,1,5,7,9,DTB,4.0,7.1318998,-73.130296,166
2017-01-07,2017,1,1,5,7,8,DTB,4.0,7.11674,-73.11534,60
2017-01-07,2017,1,1,5,7,7,DTB,2.0,7.1421261,-73.1320086,1233
2017-01-07,2017,1,1,5,7,11,DTB,2.0,7.1103427,-73.1170257,282
2017-01-07,2017,1,1,5,7,17,DTB,4.0,7.119349,-73.1227416,0
2017-01-07,2017,1,1,5,7,20,DTB,4.0,7.0979375,-73.1015032,624
2017-01-07,2017,1,1,5,7,8,DTB,2.0,7.1362097,-73.1251083,289
2017-01-07,2017,1,1,5,7,22,DTB,2.0,7.1148748,-73.1243003,162
2017-01-07,2017,1,1,5,7,10,DTB,4.0,7.1351848,-73.1300569,92
2017-01-07,2017,1,1,5,7,23,DTB,4.0,7.12262,-73.12275,286
2017-01-07,2017,1,1,5,7,14,DTB,2.0,7.1360252,-73.125948,67
2017-01-07,2017,1,1,5,7,22,DTB,2.0,7.1304914,-73.1309753,824
2017-01-07,2017,1,1,5,7,7,DTB,4.0,7.08847,-73.1148395,191
2017-01-08,2017,1,1,6,8,15,DTB,4.0,7.1332144,-73.1237087,852
2017-01-08,2017,1,1,6,8,8,DTB,4.0,7.1174965,-73.1122712,677
2017-01-08,2017,1,1,6,8,19,DTB,2.0,7.1060966,-73.1095015,384
2017-01-08,2017,1,1,6,8,21,DTB,4.0,7.1437559,-73.1351655,43
2017-01-08,2017,1,1,6,8,8,DTB,2.0,7.1384435,-73.126396,558
2017-01-08,2017,1,1,6,8,22,DTB,2.0,7.1082648,-73.1199169,108
2017-01-08,2017,1,1,6,8,7,DTB,2.0,7.1514065,-73.1361629,621
2017-01-08,2017,1,1,6,8,10,DTB,2.0,7.1228928,-73.1202171,80
2017-01-08,2017,1,1,6,8,11,DTB,4.0,7.1213757,-73.1165339,189
2017-01-08,2017,1,1,6,8,10,DTB,4.0,7.1174898,-73.1166573,26
2017-01-08,2017,1,1,6,8,6,DTB,2.0,7.107558,-73.13487,151
2017-01-08,2017,1,1,6,8,16,DTB,2.0,7.117932,-73.127135,383
2017-01-08,2017,1,1,6,8,12,DTB,2.0,7.0980966,-73.1325345,171
2017-01-08,2017,1,1,6,8,21,DTB,2.0,7.1126455,-73.1223899,13
2017-01-09,2017,1,2,0,9,11,DTB,4.0,7.1053449,-73.1167279,142
2017-01-09,2017,1,2,0,9,12,DTB,2.0,7.119184,-73.1353426,525
2017-01-09,2017,1,2,0,9,14,DTB,2.0,7.1450033,-73.1365345,72
2017-01-09,2017,1,2,0,9,16,DTB,4.0,7.1044503,-73.1232736,126
2017-01-09,2017,1,2,0,9,21,DTB,2.0,7.1371481,-73.1234742,424
2017-01-09,2017,1,2,0,9,20,DTB,2.0,7.1481677,-73.13039,497
2017-01-09,2017,1,2,0,9,13,DTB,2.0,7.1311004,-73.1319481,835
2017-01-09,2017,1,2,0,9,12,DTB,4.0,7.1017723,-73.1155968,1413
2017-01-09,2017,1,2,0,9,8,DTB,2.0,7.1265957,-73.1114934,685
2017-01-09,2017,1,2,0,9,7,DTB,4.0,7.1074573,-73.1064012,1147
2017-01-09,2017,1,2,0,9,6,DTB,2.0,7.1133575,-73.1318369,485
2017-01-09,2017,1,2,0,9,2,DTB,4.0,7.122345,-73.109045,737
2017-01-09,2017,1,2,0,9,15,DTB,4.0,7.12674,-73.1107316,688
2017-01-09,2017,1,2,0,9,19,DTB,2.0,7.1001025,-73.1338942,1207
2017-01-09,2017,1,2,0,9,12,DTB,2.0,7.1141119,-73.1320801,485
2017-01-10,2017,1,2,1,10,6,DTB,2.0,7.114647,-73.1304395,79
2017-01-10,2017,1,2,1,10,11,DTB,2.0,7.1146361,-73.1148289,130
2017-01-10,2017,1,2,1,10,15,DTB,2.0,7.1168969,-73.1093293,365
2017-01-10,2017,1,2,1,10,11,DTB,2.0,7.1323789,-73.1017289,553
2017-01-10,2017,1,2,1,10,19,DTB,2.0,7.1079486,-73.1095956,196
2017-01-10,2017,1,2,1,10,20,DTB,2.0,7.119349,-73.1227416,0
2017-01-10,2017,1,2,1,10,22,DTB,2.0,7.1315636,-73.1254086,19
2017-01-11,2017,1,2,2,11,22,DTB,2.0,7.1048459,-73.1145757,34
2017-01-11,2017,1,2,2,11,12,DTB,2.0,7.104183,-73.1404311,228
2017-01-11,2017,1,2,2,11,13,DTB,2.0,7.1156299,-73.1246067,195
2017-01-11,2017,1,2,2,11,5,DTB,4.0,7.12218,-73.1368274,1007
2017-01-11,2017,1,2,2,11,16,DTB,4.0,7.127253,-73.1224623,422
2017-01-11,2017,1,2,2,11,12,DTB,4.0,7.1188197,-73.1156166,106
2017-01-11,2017,1,2,2,11,21,DTB,2.0,7.1260735,-73.1137923,631
2017-01-11,2017,1,2,2,11,17,DTB,4.0,7.1295537,-73.1199572,894
2017-01-11,2017,1,2,2,11,13,DTB,4.0,7.1095675,-73.1098424,110
2017-01-11,2017,1,2,2,11,17,DTB,4.0,7.119786,-73.1130355,592
2017-01-12,2017,1,2,3,12,17,DTB,2.0,7.1031382,-73.1216715,88
2017-01-12,2017,1,2,3,12,19,DTB,4.0,7.1058133,-73.1140872,513
2017-01-12,2017,1,2,3,12,15,DTB,4.0,7.1061564,-73.1194127,554
2017-01-12,2017,1,2,3,12,9,DTB,4.0,7.098134,-73.1137649,618
2017-01-12,2017,1,2,3,12,22,DTB,2.0,7.1019033,-73.126198,56
2017-01-12,2017,1,2,3,12,23,DTB,4.0,7.1040807,-73.1288677,639
2017-01-12,2017,1,2,3,12,16,DTB,2.0,7.0993817,-73.1239077,1008
2017-01-12,2017,1,2,3,12,16,DTB,5.0,7.1123184,-73.1213996,37
2017-01-12,2017,1,2,3,12,15,DTB,2.0,7.1093992,-73.1223285,827
2017-01-12,2017,1,2,3,12,15,DTB,2.0,7.0942442,-73.1330117,1197
2017-01-12,2017,1,2,3,12,11,DTB,4.0,7.1210629,-73.1148779,555
2017-01-12,2017,1,2,3,12,13,DTB,4.0,7.1299809,-73.1179611,806
2017-01-13,2017,1,2,4,13,13,DTB,2.0,7.1146847,-73.1265809,597
2017-01-13,2017,1,2,4,13,10,DTB,4.0,7.1266963,-73.1160391,157
2017-01-13,2017,1,2,4,13,19,DTB,5.0,7.1096741,-73.1056998,415
2017-01-13,2017,1,2,4,13,11,DTB,2.0,7.1315107,-73.1233276,481
2017-01-13,2017,1,2,4,13,22,DTB,2.0,7.1109644,-73.1133398,742
2017-01-13,2017,1,2,4,13,15,DTB,4.0,7.089364,-73.1324768,9
2017-01-13,2017,1,2,4,13,22,DTB,4.0,7.0902744,-73.1102459,1023
2017-01-14,2017,1,2,5,14,12,DTB,4.0,7.1134691,-73.1216651,44
2017-01-14,2017,1,2,5,14,23,DTB,2.0,7.1162804,-73.1002579,263
2017-01-14,2017,1,2,5,14,13,DTB,2.0,7.1027504,-73.167249,14
2017-01-14,2017,1,2,5,14,19,DTB,2.0,7.1100504,-73.1206265,77
2017-01-14,2017,1,2,5,14,20,DTB,2.0,7.0856253,-73.1230624,1503
2017-01-14,2017,1,2,5,14,12,DTB,4.0,7.1169936,-73.1087774,64
2017-01-14,2017,1,2,5,14,17,DTB,4.0,7.1248665,-73.1159176,400
2017-01-14,2017,1,2,5,14,12,DTB,4.0,7.1274549,-73.1191323,1
2017-01-14,2017,1,2,5,14,8,DTB,4.0,7.1134691,-73.1216651,44
2017-01-15,2017,1,2,6,15,19,DTB,2.0,7.0936635,-73.1116789,713
2017-01-15,2017,1,2,6,15,16,DTB,2.0,7.09579,-73.1378418,764
2017-01-15,2017,1,2,6,15,9,DTB,2.0,7.1093593,-73.1202744,302
2017-01-15,2017,1,2,6,15,16,DTB,4.0,7.1137496,-73.1071256,457
2017-01-15,2017,1,2,6,15,8,DTB,4.0,7.1148717,-73.1084037,429
2017-01-16,2017,1,3,0,16,15,DTB,2.0,7.1294247,-73.1082554,714
2017-01-16,2017,1,3,0,16,7,DTB,2.0,7.1181962,-73.119946,256
2017-01-16,2017,1,3,0,16,9,DTB,2.0,7.1047338,-73.1101507,131
2017-01-16,2017,1,3,0,16,7,DTB,2.0,7.0970592,-73.1020195,102
2017-01-16,2017,1,3,0,16,8,DTB,4.0,7.1095106,-73.1184884,140
2017-01-16,2017,1,3,0,16,6,DTB,2.0,7.1257889,-73.1212134,339
2017-01-16,2017,1,3,0,16,19,DTB,2.0,7.1095106,-73.1184884,140
2017-01-16,2017,1,3,0,16,12,DTB,4.0,7.083486,-73.1305982,1024
2017-01-16,2017,1,3,0,16,14,DTB,2.0,7.0917815,-73.119609,117
2017-01-16,2017,1,3,0,16,16,DTB,2.0,7.1248295,-73.1285986,354
2017-01-16,2017,1,3,0,16,18,DTB,5.0,7.1193089,-73.1114961,177
2017-01-16,2017,1,3,0,16,16,DTB,2.0,7.1166119,-73.1110854,146
2017-01-17,2017,1,3,1,17,14,DTB,4.0,7.1192769,-73.1295531,543
2017-01-17,2017,1,3,1,17,13,DTB,2.0,7.1351802,-73.1310249,81
2017-01-17,2017,1,3,1,17,20,DTB,2.0,7.1134691,-73.1216651,44
2017-01-17,2017,1,3,1,17,18,DTB,4.0,7.11287,-73.11545,718
2017-01-17,2017,1,3,1,17,17,DTB,4.0,7.119349,-73.1227416,0
2017-01-17,2017,1,3,1,17,9,DTB,4.0,7.0906334,-73.1096987,1452
2017-01-17,2017,1,3,1,17,6,DTB,2.0,7.1027504,-73.167249,14
2017-01-17,2017,1,3,1,17,8,DTB,4.0,7.0959022,-73.1078662,419
2017-01-17,2017,1,3,1,17,8,DTB,4.0,7.0941742,-73.1322045,1130
2017-01-17,2017,1,3,1,17,5,DTB,4.0,7.0946918,-73.1118168,854
2017-01-17,2017,1,3,1,17,7,DTB,4.0,7.0846524,-73.1253976,315
2017-01-17,2017,1,3,1,17,7,DTB,4.0,7.1027504,-73.167249,14
2017-01-17,2017,1,3,1,17,23,DTB,4.0,7.1027504,-73.167249,14
2017-01-18,2017,1,3,2,18,18,DTB,2.0,7.1332375,-73.1279437,398
2017-01-18,2017,1,3,2,18,17,DTB,4.0,7.1139047,-73.1124076,435
2017-01-18,2017,1,3,2,18,14,DTB,4.0,7.0854142,-73.115419,98
2017-01-18,2017,1,3,2,18,9,DTB,4.0,7.1169936,-73.1087774,64
2017-01-18,2017,1,3,2,18,10,DTB,2.0,7.1226644,-73.1209272,588
2017-01-18,2017,1,3,2,18,12,DTB,4.0,7.1134691,-73.1216651,44
2017-01-18,2017,1,3,2,18,14,DTB,4.0,7.1129934,-73.1081598,352
2017-01-19,2017,1,3,3,19,9,DTB,2.0,7.087343,-73.129595,103
2017-01-19,2017,1,3,3,19,8,DTB,2.0,7.1289503,-73.1220226,309
2017-01-19,2017,1,3,3,19,9,DTB,2.0,7.1177514,-73.1154599,109
2017-01-19,2017,1,3,3,19,15,DTB,2.0,7.1029066,-73.1123024,896
2017-01-19,2017,1,3,3,19,16,DTB,2.0,7.1220681,-73.106724,1018
2017-01-19,2017,1,3,3,19,14,DTB,5.0,7.1131379,-73.1104069,54
2017-01-19,2017,1,3,3,19,9,DTB,4.0,7.1161407,-73.1219071,119
2017-01-19,2017,1,3,3,19,15,DTB,2.0,7.1313589,-73.1241494,328
2017-01-20,2017,1,3,4,20,14,DTB,4.0,7.0906551,-73.1067458,107
2017-01-20,2017,1,3,4,20,10,DTB,2.0,7.1293586,-73.1255662,246
2017-01-20,2017,1,3,4,20,21,DTB,4.0,7.1168969,-73.1093293,365
2017-01-20,2017,1,3,4,20,9,DTB,2.0,7.1259942,-73.1203017,411
2017-01-20,2017,1,3,4,20,21,DTB,2.0,7.1090832,-73.1142043,28
2017-01-20,2017,1,3,4,20,15,DTB,4.0,7.1254834,-73.1219674,6
2017-01-20,2017,1,3,4,20,14,DTB,4.0,7.1174107,-73.1280109,52
2017-01-20,2017,1,3,4,20,8,DTB,4.0,7.1190576,-73.1111412,177
2017-01-20,2017,1,3,4,20,5,DTB,2.0,7.1189206,-73.1213358,122
2017-01-20,2017,1,3,4,20,15,DTB,4.0,7.1133033,-73.1107182,54
