Id,Intensity,Longitude,Latitude
0,3909,-73.123071300,7.119189700
1,658,-73.119328286,7.127498966
2,539,-73.128431003,7.123001846
3,500,-73.129832400,7.129238150
4,401,-73.1355788,7.107144200
5,338,-73.119602689,7.110799639
6,334,-73.121964672,7.125215843
7,322,-73.1112656,7.1176216
8,318,-73.1293154,7.1082025
9,299,-73.132348,7.089055700
10,282,-73.115191150,7.107160750
11,276,-73.108446183,7.088178485
12,276,-73.121505500,7.119605100
13,235,-73.122889033,7.113097870
14,229,-73.165458400,7.102301300
15,227,-73.119557,7.1174244
16,211,-73.131773700,7.149236650
17,205,-73.111710036,7.127853304
18,203,-73.1106621,7.0980141
19,197,-73.124999449,7.131210000
20,190,-73.1233495,7.115847800
21,188,-73.138505082,7.164565918
22,180,-73.111099150,7.103745450
23,180,-73.1074926,7.1023581
24,179,-73.118006134,7.118242123
25,178,-73.125273413,7.148962280
26,177,-73.116719050,7.117687700
27,170,-73.117983702,7.085381978
28,166,-73.114291396,7.109200673
29,163,-73.106885,7.1001827
30,150,-73.1026131,7.135110500
31,150,-73.1197885,7.1219943
32,146,-73.125187881,7.114617135
33,144,-73.121734650,7.105120000
34,143,-73.113715511,7.105078200
35,135,-73.1583161,7.125518
36,135,-73.133062504,7.141149465
37,134,-73.121257586,7.112034496
38,129,-73.1321871,7.158556
39,123,-73.140182965,7.149224580
40,118,-73.1297891,7.1337967
41,117,-73.1245165,7.1286743
42,116,-73.1357626,7.155786
43,114,-73.135534312,7.144041503
44,113,-73.121904157,7.113440238
45,110,-73.118108338,7.116633280
46,110,-73.129461100,7.112416991
47,109,-73.1140048,7.1117854
48,108,-73.128957665,7.135769045
49,107,-73.1148662,7.0836639
50,104,-73.1193716,7.1212079
51,104,-73.154426650,7.132401800
52,102,-73.128025100,7.117467050
53,101,-73.1141558,7.0919048
54,101,-73.110483690,7.113145629
55,101,-73.1131569,7.1203119
56,94,-73.126000719,7.102039910
57,94,-73.136020000,7.094163650
58,94,-73.1632004,7.0983179
59,91,-73.133997714,7.146876197
60,90,-73.115265350,7.116738200
61,90,-73.127209769,7.114054094
62,87,-73.131420352,7.136243315
63,87,-73.1267102,7.1264841
64,85,-73.108481994,7.117031854
65,84,-73.1270814,7.1170966
66,82,-73.1100992,7.0897079
67,82,-73.1258743,7.1360521
68,81,-73.1243292,7.1278263
69,81,-73.116920982,7.108544281
70,81,-73.128509100,7.094162100
71,79,-73.112247779,7.109504585
72,79,-73.1366017,7.1450977
73,78,-73.117855600,7.137088600
74,78,-73.110519049,7.099870906
75,77,-73.117823000,7.108177700
76,77,-73.1279692,7.1435352
77,77,-73.120694293,7.110258651
78,76,-73.122214059,7.083956616
79,74,-73.131043819,7.114922052
80,74,-73.1202185,7.1228993
81,73,-73.130942638,7.135004357
82,73,-73.133070970,7.150126867
83,72,-73.126976850,7.119364450
84,71,-73.1275475,7.1263112
85,71,-73.1176383,7.1326614
86,70,-73.113204181,7.130946600
87,70,-73.132125,7.0872723
88,70,-73.120162850,7.102933562
89,70,-73.1206623,7.1243574
90,70,-73.147420095,7.150469170
91,69,-73.121447800,7.112917600
92,69,-73.130086536,7.134967732
93,68,-73.1417732,7.1553678
94,68,-73.107815,7.1005366
95,68,-73.131320900,7.154364200
96,68,-73.114190152,7.108256809
97,67,-73.126384231,7.117876642
98,67,-73.1153972,7.0859487
99,67,-73.112549900,7.129981700
100,65,-73.114425800,7.110289100
101,65,-73.1352695,7.1202682
102,65,-73.102636299,7.096935701
103,65,-73.131004829,7.085390870
104,64,-73.1113661,7.1227231
105,63,-73.127373250,7.122406500
106,63,-73.115549274,7.118994548
107,63,-73.1068555,7.091432
108,63,-73.119975850,7.108257850
109,62,-73.115395650,7.117800400
